fact_id,version,text,updated_at,deleted,source,sent_count
9fb2b3fda82b0d7e32825f94,0,"Unlike dogs, cats do not have a sweet tooth. Scientists believe this is due to a mutation in a key taste receptor.",2020-10-20T06:22:11.000Z,False,api,14
f2bc0f5b8e8412d0f1ca1a9c,0,"When a cat chases its prey, it keeps its head level. Dogs and humans bob their heads up and down.",2020-06-22T02:57:57.000Z,False,api,4
03fe754fb46f6df7869d9b15,0,The technical term for a cat’s hairball is a “bezoar.”,2020-10-20T07:55:59.000Z,False,api,7
3cc3f987755644666f0c3db2,0,A group of cats is called a “clowder.”,2020-06-22T04:44:47.000Z,False,api,6
89e7551b2721b3dbf3d04df5,0,"A cat can’t climb head first down a tree because every claw on a cat’s paw points the same way. To get down from a tree, a cat must back down.",2020-12-25T01:06:18.000Z,False,api,6
9e0aec54dc26455f0d8ce4bb,0,Cats make about 100 different sounds. Dogs make only about 10.,2020-05-18T09:41:14.000Z,False,api,4
76cd39d3f15bb59f8b0bd484,0,"Every year, nearly four million cats are eaten in Asia.",2020-12-01T18:07:58.000Z,False,api,9
6030fa56a9406fb890cb1f63,0,"There are more than 500 million domestic cats in the world, with approximately 40 recognized breeds.",2020-11-20T03:12:42.000Z,False,api,9
ad903566b6ac10cb727c2452,0,Approximately 24 cat skins can make a coat.,2020-10-26T04:18:28.000Z,False,api,7
e72cb96a209dad4072bf673c,0,"While it is commonly thought that the ancient Egyptians were the first to domesticate cats, the oldest known pet cat was recently found in a 9,500-year-old grave on the Mediterranean island of Cyprus. This grave predates early Egyptian art depicting cats by 4,000 years or more.",2020-02-08T08:09:39.000Z,False,api,15
a736134bbfb4e11bd06b17aa,0,"During the time of the Spanish Inquisition, Pope Innocent VIII condemned cats as evil and thousands of cats were burned. Unfortunately, the widespread killing of cats led to an explosion of the rat population, which exacerbated the effects of the Black Death.",2020-02-06T02:01:22.000Z,False,api,7
6ec3954c47d4e7408cc79849,0,"During the Middle Ages, cats were associated with withcraft, and on St. John’s Day, people all over Europe would stuff them into sacks and toss the cats into bonfires. On holy days, people celebrated by tossing cats from church towers.",2020-01-21T10:50:43.000Z,False,api,15
d246e66426f83123c45c0e44,0,"The first cat in space was a French cat named Felicette (a.k.a. “Astrocat”) In 1963, France blasted the cat into outer space. Electrodes implanted in her brains sent neurological signals back to Earth. She survived the trip.",2020-10-06T05:08:31.000Z,False,api,6
